"","donor","timepoint","percentage_producing","percentage_producing_nucleus","percentage_producing_cytoplasm","percentage_producing_nucleus_only","percentage_producing_cytoplasm_only","percentage_producing_cytoplasm_nucleus","percentage_producing_nascent_1_TS","percentage_producing_nascent_2_TSs"
"1","D1","0",35.8139534883721,30.4651162790698,9.06976744186047,26.7441860465116,5.34883720930233,3.72093023255814,0,0
"2","D1","1",86.9674185463659,64.1604010025063,69.9248120300752,17.0426065162907,22.8070175438596,47.1177944862155,0.75187969924812,1.50375939849624
"3","D1","2",73.6645962732919,47.7018633540373,62.6086956521739,11.055900621118,25.9627329192547,36.6459627329193,1.11801242236025,0.745341614906832
"4","D1","3",74.1772151898734,54.6835443037975,54.9367088607595,19.2405063291139,19.493670886076,35.4430379746835,8.10126582278481,0.759493670886076
"5","D1","4",46.875,29.375,33.75,13.125,17.5,16.25,0.3125,0
"6","D1","6",84.2482100238663,61.8138424821002,67.6610978520286,16.5871121718377,22.4343675417661,45.2267303102625,0.954653937947494,0.35799522673031
"7","D2","0",34.3575418994413,26.8156424581006,20.1117318435754,14.2458100558659,7.54189944134078,12.5698324022346,0,0
"8","D2","1",86.1163227016885,68.2926829268293,72.7954971857411,13.3208255159475,17.8236397748593,54.9718574108818,1.50093808630394,1.12570356472795
"9","D2","2",60.9400324149109,43.9222042139384,45.8670988654781,15.0729335494327,17.0178282009724,28.8492706645057,0.162074554294976,0.486223662884927
"10","D2","3",74.2451154529307,51.3321492007105,57.9040852575488,16.3410301953819,22.9129662522202,34.9911190053286,7.63765541740675,1.24333925399645
"11","D2","4",61.0810810810811,32.972972972973,44.3243243243243,16.7567567567568,28.1081081081081,16.2162162162162,0.27027027027027,0
"12","D2","6",79.492600422833,63.6363636363636,62.8964059196617,16.5961945031712,15.8562367864693,47.0401691331924,1.79704016913319,1.26849894291755
"13","D3","0",36.6255144032922,20.1646090534979,24.6913580246914,11.9341563786008,16.4609053497942,8.23045267489712,0,0
"14","D3","1",57.7464788732394,50.1760563380282,45.7746478873239,11.9718309859155,7.57042253521127,38.2042253521127,1.76056338028169,1.23239436619718
"15","D3","2",61.0294117647059,44.8529411764706,42.6470588235294,18.3823529411765,16.1764705882353,26.4705882352941,1.22549019607843,0.980392156862745
"16","D3","3",77.2519083969466,63.969465648855,63.0534351145038,14.1984732824427,13.2824427480916,49.7709923664122,2.29007633587786,2.59541984732824
"17","D3","4",70.3846153846154,55.7692307692308,52.6923076923077,17.6923076923077,14.6153846153846,38.0769230769231,0.769230769230769,1.53846153846154
"18","D3","6",86.1538461538462,67.1328671328671,73.8461538461539,12.3076923076923,19.020979020979,54.8251748251748,2.65734265734266,1.3986013986014
